id,title,vote_average,vote_count,release_date,runtime,overview,poster_path,genres,production_companies,production_countries
22327,Youth in Revolt,6.173,828,2009-09-11,87,"As a fan of Albert Camus and Jean-Luc Godard, teenage Nick Twisp is definitely out of his element when his mother and her boyfriend move the family to a trailer park. When a pretty neighbor named Sheeni plays records by French crooners, it's love at first sight for frustrated and inexperienced Nick. Learning that she is dating someone, Nick launches a hilarious quest to find his way into Sheeni's heart -- and bed.",/3J48x7Utjx0sdYIvjsMWnlEbxpV.jpg,"Comedy, Romance",Dimension Films,United States of America
390051,Aftermath,5.742,828,2017-02-28,92,"A fatal plane crash changes the lives of Roman and Jake forever. Roman loses his wife and daughter in the accident, while Jake loses his mind—as he happens to be the air traffic controller who failed to avert the nightmare. Rage and revenge engulfs Roman and Jake finds himself swamped with guilt and regret.",/25oWTCGqIik4gUTMidx3L8DI4Bt.jpg,"Drama, Thriller","Ingenious Media, Protozoa Pictures, The Fyzz, Oak Productions, Pacific View Management, Union Editorial, Hat and Coat Productions, EFO Films, Lionsgate Premiere","United Kingdom, United States of America"
2320,Executive Decision,6.25,827,1996-03-15,133,"Terrorists hijack a 747 inbound to Washington D.C., demanding the release of their imprisoned leader. Intelligence expert David Grant (Kurt Russell) suspects another reason and he is soon the reluctant member of a special assault team that is assigned to intercept the plane and hijackers.",/hLjXkFr9fHlWzRVwu1T31QSVHRq.jpg,"Action, Adventure, Drama, Thriller","Silver Pictures, Warner Bros. Pictures",United States of America
69798,The Inbetweeners Movie,6.155,827,2011-08-19,97,"High school graduation just wouldn’t be complete without an un-chaperoned, uninhibited and unforgettable final holiday. At least that’s what Will, Jay, Simon and Neil think when they book a two-week stay on an exotic Greek island. As their dreams of sun-drenched days and booze-filled nights are left hopelessly unfulfilled, the lads fight their way into the party scene with hilariously humiliating results in this smash hit UK raunchy comedy.",/nePYsVp0qU8EbSXeUdr3xEkHlzN.jpg,Comedy,"Film4 Productions, Young Bwark Productions, IM Global","United Kingdom, United States of America"
12589,Jimmy Neutron: Boy Genius,5.958,827,2001-12-21,83,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents.",/pUwdquA6Bf3Gq8yT5iQL1Yq0jkl.jpg,"Family, Action, Adventure, Animation, Comedy, Science Fiction","Nickelodeon Movies, O Entertainment, DNA Productions, Paramount",United States of America
12103,Don't Say a Word,6.213,826,2001-09-28,113,"When the daughter of a psychiatrist is kidnapped, he's horrified to discover that the abductors' demand is that he break through to a post traumatic stress disorder suffering young woman who knows a secret..",/mDawnZWQnePqQbiisEWZaY9e4UI.jpg,"Thriller, Mystery","20th Century Fox, Regency Enterprises, Kopelson Entertainment, NPV Entertainment, New Regency Pictures, Further Pictures, Village Roadshow Pictures",United States of America
1913,The Sea Inside,7.587,826,2004-09-03,125,"The Sea Inside is about Spaniard Ramón Sampedro, who fought a 30-year campaign to win the right to end his life with dignity. It is the story of Ramón’s relationships with two women: Julia a lawyer who supports his cause, and Rosa, a local woman who wants to convince him that life is worth living.",/mQW1JJKCUg02cmWBzr9JFu9vM1V.jpg,Drama,"Canal+, Sogecine, Himenóptero, Eurimages, Union Générale Cinématographique (UGC), TVG, Ministerio de Cultura, Sogepaq, Eyescreen S.r.l., Filmanova, TVE, Fine Line Features","France, Italy, Spain, United States of America"
15137,Evangelion: 1.0 You Are (Not) Alone,7.645,826,2007-09-01,101,"After the Second Impact, Tokyo-3 is being attacked by giant monsters called Angels that seek to eradicate humankind. The child Shinji's objective is to fight the Angels by piloting one of the mysterious Evangelion mecha units. A remake of the first six episodes of GAINAX's famous 1996 anime series. The film was retitled ""Evangelion: 1.01"" for its home video version and ""Evangelion: 1.11"" for a release with additional scenes.",/pETU4GurpeEjBOM8oytMH0yNBHx.jpg,"Animation, Science Fiction, Action, Drama",khara,Japan
14175,Valiant,5.492,826,2005-03-25,76,"Set in 1944, Valiant is a woodland pigeon who wants to become a great hero someday. When he hears they are hiring recruits for the Royal Homing Pigeon Service, he immediately sets out for London. On the way, he meets a smelly but friendly pigeon named Bugsy, who joins him, mainly to get away from clients he cheated in a game of find-the pebble, and helps him sign up for the war.",/chtAKvXb897I2Pn8HOkV4TC5Jzz.jpg,"Family, Animation, Adventure, Comedy, War","Ealing Studios, Odyssey Entertainment, Vanguard Animation, Walt Disney Pictures","United Kingdom, United States of America"
9612,Coneheads,5.325,825,1993-07-23,87,"A pair of aliens arrive on Earth to prepare for invasion, but crash instead. With enormous cone-shaped heads, robotlike walks and an appetite for toilet paper, aliens Beldar and Prymatt don't exactly blend in with the population of Paramus, N.J. But for some reason, everyone believes them when they say they're from France.",/rAaitAn2937opFpbcxyywMEj26l.jpg,"Comedy, Science Fiction, Family",Paramount,United States of America
11967,Young Guns,6.659,825,1988-02-17,107,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted.",/stvh1A3mj8NYyczE7RvwdtDRCo2.jpg,"Western, Crime, Action, Adventure",Morgan Creek,United States of America
1024,Heavenly Creatures,7.011,824,1994-09-12,109,"Wealthy and precocious teenager Juliet transfers from England to New Zealand with her family, and soon befriends the quiet, brooding Pauline through their shared love of fantasy and literature. When their parents begin to suspect that their increasingly intense and obsessive bond is becoming unhealthy, the girls hatch a dark plan for those who threaten to keep them apart.",/uvb86wVCIqD3Rlbr0GTNgWDF7Zo.jpg,"Drama, Fantasy","Miramax, WingNut Films, New Zealand Film Commission, Fontana Productions",New Zealand
13944,Passengers,6.064,824,2008-09-26,93,"After a plane crash, a young therapist, Claire, is assigned by her mentor to counsel the flight's five survivors. When they share their recollections of the incident -- which some say include an explosion that the airline claims never happened -- Claire is intrigued by Eric, the most secretive of the passengers.",/6srHzYQBQxoHgKAcdfgm8Jthptu.jpg,"Drama, Mystery, Thriller, Romance","TriStar Pictures, Mandate Pictures, Persistent Entertainment, Intuition Films, Mandate International","Canada, United States of America"
11132,Confessions of a Teenage Drama Queen,5.589,824,2004-02-17,89,"Lola is an ambitious teenager who aspires to be a famous stage actress, but ger dream of performing on Broadway suffers a setback when her family moves from New York City to suburban New Jersey. Determined to make the best of it, however, Lola embarks on a mission to become the most popular girl at her high school, a goal that sets her on a collision course with the catty Carla Santini.",/iDDEeG7cWyZnz2PJmCkCmWL2X5J.jpg,Comedy,Walt Disney Pictures,"Germany, United States of America"
537739,Can You Keep a Secret?,6.48,824,2019-09-13,94,"Emma Corrigan, a girl with a few secrets on a turbulent plane ride, thinks she’s about to die, Emma spills them all to the handsome stranger sitting next to her. At least, she thought he was a stranger. But then, her company’s young and elusive CEO, arrives at the office. It’s him. And he knows every single humiliating detail about Emma.",/7QtCOlHESPEYtFANmd4yLqsYKZ4.jpg,"Romance, Comedy","BCDF Pictures, Big Indie Pictures",United States of America
22536,Thirst,7.074,824,2009-04-30,134,"A respected priest volunteers for an experimental procedure that may lead to a cure for a deadly virus. He gets infected and dies, but a blood transfusion of unknown origin brings him back to life. Now, he’s torn between faith and bloodlust, and has a newfound desire for the wife of a childhood friend.",/sFgvkGpXLTydvHqBCXw54OB8R0h.jpg,"Drama, Horror, Thriller","CJ Entertainment, Moho Film, Focus Features",South Korea
40619,Day & Night,7.712,824,2010-06-17,6,"When Day, a sunny fellow, encounters Night, a stranger of distinctly darker moods, sparks fly! Day and Night are frightened and suspicious of each other at first, and quickly get off on the wrong foot. But as they discover each other's unique qualities--and come to realize that each of them offers a different window onto the same world-the friendship helps both to gain a new perspective.",/hn2tOtidoYZ0D56jR4yknpdP1mU.jpg,"Animation, Family","Walt Disney Pictures, Pixar",United States of America
46503,All Good Things,6.023,824,2010-12-03,101,"Newly-discovered facts, court records and speculation are used to elaborate the true love story and murder mystery of the most notorious unsolved murder case in New York history.",/3RM8SyB0yHanJbYeHdgi5eLv21C.jpg,"Mystery, Thriller, Romance",Hit the Ground Running Films,United States of America
428493,God's Own Country,7.755,823,2017-09-01,105,"A young farmer in rural Yorkshire numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker.",/uKShYyGsleXAZ6e6gK5jF6Wa2tW.jpg,"Romance, Drama","BFI, Inflammable Films, Met Film Production, Shudder Films, Creative England, Magic Bear Productions",United Kingdom
13576,This Is It,7.195,823,2009-10-28,111,"A compilation of interviews, rehearsals and backstage footage of Michael Jackson as he prepared for his series of sold-out shows in London.",/8GvQzHFSqr9KhyVxLEpB5dXPOWG.jpg,"Music, Documentary","Columbia Pictures, AEG Live",United States of America
747188,Asteroid City,6.606,823,2023-06-08,105,"In an American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention is spectacularly disrupted by world-changing events.",/tcKBclNUdkas4Jis8RYYZnPdTIm.jpg,"Comedy, Drama","American Empirical Pictures, Indian Paintbrush",United States of America
113833,The Normal Heart,7.795,823,2014-05-25,133,"The story of the onset of the HIV-AIDS crisis in New York City in the early 1980s, taking an unflinching look at the nation's sexual politics as gay activists and their allies in the medical community fight to expose the truth about the burgeoning epidemic to a city and nation in denial.",/3dfoCGiD61568Uu8wyiK7SMEZAu.jpg,Drama,"HBO Films, Plan B Entertainment, Ryan Murphy Productions, Blumhouse Productions",United States of America
